id;date;poste;desciptif;location;assignation_orp;txactivite;offredeservice;resoffredeservice;motifres
1;2020-06-12;Direct Locks;../fake-data/blob/hipster.txt;matrix firewall deposit;false;57;Email;EnCours;tan Seamless ADP
2;2020-06-12;TCP;../fake-data/blob/hipster.txt;lavender;false;9;JobUp;EnCours;Money Market Account
3;2020-06-11;Handcrafted Concrete Computer card;../fake-data/blob/hipster.txt;Auto Loan Account Corporate;true;32;Phone;Entretien;SMTP eco-centric
4;2020-06-12;mobile;../fake-data/blob/hipster.txt;Plastic Home Loan Account;false;65;Email;Negatif;China bleeding-edge
5;2020-06-12;Japan RAM;../fake-data/blob/hipster.txt;Accounts Personal Loan Account;false;31;Visite;EnCours;customized bypass Small
6;2020-06-12;parsing Jordan Berkshire;../fake-data/blob/hipster.txt;Prairie groupware Clothing;false;41;JobUp;Negatif;Czech Koruna Pines teal
7;2020-06-12;International;../fake-data/blob/hipster.txt;Indian Rupee Saudi Riyal;true;56;Visite;Entretien;e-markets
8;2020-06-12;Fall magenta Small;../fake-data/blob/hipster.txt;Sao Tome and Principe Macedonia hack;false;18;Email;Negatif;driver generating
9;2020-06-12;Singapore Dollar cyan e-services;../fake-data/blob/hipster.txt;payment Shoes;false;71;Visite;EnCours;back up Auto Loan Account
10;2020-06-12;capability;../fake-data/blob/hipster.txt;Auto Loan Account Kyrgyz Republic;true;35;Email;EnCours;Ergonomic solid state Games
